     time     force
  5.69138E-01  3.24957E+00
  5.71142E-01  3.25411E+00
  5.73146E-01  3.25862E+00
  5.75150E-01  3.26311E+00
  5.77154E-01  3.26758E+00
  5.79158E-01  3.27202E+00
  5.81162E-01  3.27644E+00
  5.83166E-01  3.28083E+00
  5.85170E-01  3.28520E+00
  5.87174E-01  3.28955E+00
  5.89178E-01  3.29388E+00
  5.91182E-01  3.29818E+00
  5.93186E-01  3.30246E+00
  5.95190E-01  3.30671E+00
  5.97194E-01  3.31095E+00
  5.99198E-01  3.31516E+00
  6.01202E-01  3.31935E+00
  6.03206E-01  3.32351E+00
  6.05210E-01  3.32766E+00
  6.07214E-01  3.33178E+00
  6.09218E-01  3.33588E+00
  6.11222E-01  3.33995E+00
  6.13226E-01  3.34401E+00
  6.15230E-01  3.34804E+00
  6.17234E-01  3.35206E+00
  6.19238E-01  3.35605E+00
  6.21242E-01  3.36002E+00
  6.23246E-01  3.36397E+00
  6.25251E-01  3.36790E+00
  6.27255E-01  3.37180E+00
  6.29259E-01  3.37569E+00
  6.31263E-01  3.37955E+00
  6.33267E-01  3.38340E+00
  6.35271E-01  3.38722E+00
  6.37275E-01  3.39103E+00
  6.39279E-01  3.39481E+00
  6.41283E-01  3.39857E+00
  6.43287E-01  3.40232E+00
  6.45291E-01  3.40604E+00
  6.47295E-01  3.40974E+00
  6.49299E-01  3.41343E+00
  6.51303E-01  3.41709E+00
  6.53307E-01  3.42073E+00
  6.55311E-01  3.42436E+00
  6.57315E-01  3.42796E+00
  6.59319E-01  3.43155E+00
  6.61323E-01  3.43512E+00
  6.63327E-01  3.43867E+00
  6.65331E-01  3.44219E+00
  6.67335E-01  3.44570E+00
  6.69339E-01  3.44920E+00
  6.71343E-01  3.45267E+00
  6.73347E-01  3.45612E+00
  6.75351E-01  3.45956E+00
  6.77355E-01  3.46298E+00
  6.79359E-01  3.46638E+00
  6.81363E-01  3.46976E+00
  6.83367E-01  3.47312E+00
  6.85371E-01  3.47647E+00
  6.87375E-01  3.47979E+00
  6.89379E-01  3.48310E+00
  6.91383E-01  3.48640E+00
  6.93387E-01  3.48967E+00
  6.95391E-01  3.49293E+00
  6.97395E-01  3.49617E+00
  6.99399E-01  3.49939E+00
  7.01403E-01  3.50259E+00
  7.03407E-01  3.50578E+00
  7.05411E-01  3.50895E+00
  7.07415E-01  3.51211E+00
  7.09419E-01  3.51524E+00
  7.11423E-01  3.51836E+00
  7.13427E-01  3.52147E+00
  7.15431E-01  3.52456E+00
  7.17435E-01  3.52763E+00
  7.19439E-01  3.53068E+00
  7.21443E-01  3.53372E+00
  7.23447E-01  3.53674E+00
  7.25451E-01  3.53975E+00
  7.27455E-01  3.54274E+00
  7.29459E-01  3.54571E+00
  7.31463E-01  3.54867E+00
  7.33467E-01  3.55161E+00
  7.35471E-01  3.55454E+00
  7.37475E-01  3.55745E+00
  7.39479E-01  3.56034E+00
  7.41483E-01  3.56322E+00
  7.43487E-01  3.56609E+00
  7.45491E-01  3.56894E+00
  7.47495E-01  3.57177E+00
  7.49499E-01  3.57459E+00
  7.51503E-01  3.57739E+00
  7.53507E-01  3.58018E+00
  7.55511E-01  3.58296E+00
  7.57515E-01  3.58572E+00
  7.59519E-01  3.58846E+00
  7.61523E-01  3.59119E+00
  7.63527E-01  3.59390E+00
  7.65531E-01  3.59661E+00
  7.67535E-01  3.59929E+00
  7.69539E-01  3.60196E+00
  7.71543E-01  3.60462E+00
  7.73547E-01  3.60726E+00
  7.75551E-01  3.60989E+00
  7.77555E-01  3.61251E+00
  7.79559E-01  3.61511E+00
  7.81563E-01  3.61770E+00
  7.83567E-01  3.62027E+00
  7.85571E-01  3.62283E+00
  7.87575E-01  3.62538E+00
  7.89579E-01  3.62791E+00
  7.91583E-01  3.63043E+00
  7.93587E-01  3.63294E+00
  7.95591E-01  3.63543E+00
  7.97595E-01  3.63791E+00
