         pCa             force           
    7.9158300161E-01    6.8655729294E+00
    7.9358702898E-01    6.8658437729E+00
    7.9559099674E-01    6.8661112785E+00
    7.9759502411E-01    6.8663754463E+00
    7.9959899187E-01    6.8666362762E+00
    8.0160301924E-01    6.8668942451E+00
    8.0360698700E-01    6.8671483994E+00
    8.0561101437E-01    6.8673996925E+00
    8.0761498213E-01    6.8676471710E+00
    8.0961900949E-01    6.8678917885E+00
    8.1162297726E-01    6.8681335449E+00
    8.1362700462E-01    6.8683724403E+00
    8.1563097239E-01    6.8686079979E+00
    8.1763499975E-01    6.8688411713E+00
    8.1963902712E-01    6.8690710068E+00
    8.2164299488E-01    6.8692979813E+00
    8.2364702225E-01    6.8695220947E+00
    8.2565099001E-01    6.8697433472E+00
    8.2765501738E-01    6.8699612617E+00
    8.2965898514E-01    6.8701767921E+00
    8.3166301250E-01    6.8703894615E+00
    8.3366698027E-01    6.8705997467E+00
    8.3567100763E-01    6.8708066940E+00
    8.3767497540E-01    6.8710117340E+00
    8.3967900276E-01    6.8712139130E+00
    8.4168297052E-01    6.8714137077E+00
    8.4368699789E-01    6.8716106415E+00
    8.4569102526E-01    6.8718051910E+00
    8.4769499302E-01    6.8719978333E+00
    8.4969902039E-01    6.8721871376E+00
    8.5170298815E-01    6.8723745346E+00
    8.5370701551E-01    6.8725595474E+00
    8.5571098328E-01    6.8727426529E+00
    8.5771501064E-01    6.8729224205E+00
    8.5971897840E-01    6.8731002808E+00
    8.6172300577E-01    6.8732762337E+00
    8.6372697353E-01    6.8734493256E+00
    8.6573100090E-01    6.8736205101E+00
    8.6773598194E-01    6.8737902641E+00
    8.6973899603E-01    6.8739571571E+00
    8.7174397707E-01    6.8741221428E+00
    8.7374800444E-01    6.8742852211E+00
    8.7575101852E-01    6.8744463921E+00
    8.7775599957E-01    6.8746047020E+00
    8.7976002693E-01    6.8747615814E+00
    8.8176399469E-01    6.8749165535E+00
    8.8376802206E-01    6.8750691414E+00
    8.8577198982E-01    6.8752207756E+00
    8.8777601719E-01    6.8753695488E+00
    8.8977998495E-01    6.8755164146E+00
    8.9178401232E-01    6.8756618500E+00
    8.9378798008E-01    6.8758053780E+00
    8.9579200745E-01    6.8759469986E+00
    8.9779597521E-01    6.8760867119E+00
    8.9980000257E-01    6.8762249947E+00
    9.0180397034E-01    6.8763613701E+00
    9.0380799770E-01    6.8764958382E+00
    9.0581202507E-01    6.8766288757E+00
    9.0781599283E-01    6.8767604828E+00
    9.0982002020E-01    6.8768897057E+00
    9.1182398796E-01    6.8770174980E+00
    9.1382801533E-01    6.8771438599E+00
    9.1583198309E-01    6.8772687912E+00
    9.1783601046E-01    6.8773922920E+00
    9.1983997822E-01    6.8775138855E+00
    9.2184400558E-01    6.8776345253E+00
    9.2384797335E-01    6.8777527809E+00
    9.2585200071E-01    6.8778696060E+00
    9.2785602808E-01    6.8779850006E+00
    9.2985999584E-01    6.8780989647E+00
    9.3186402321E-01    6.8782119751E+00
    9.3386799097E-01    6.8783235550E+00
    9.3587201834E-01    6.8784337044E+00
    9.3787598610E-01    6.8785424232E+00
    9.3988001347E-01    6.8786497116E+00
    9.4188398123E-01    6.8787555695E+00
    9.4388800859E-01    6.8788599968E+00
    9.4589197636E-01    6.8789625168E+00
    9.4789600372E-01    6.8790650368E+00
    9.4989997149E-01    6.8791656494E+00
    9.5190399885E-01    6.8792648315E+00
    9.5390802622E-01    6.8793625832E+00
    9.5591199398E-01    6.8794593811E+00
    9.5791602135E-01    6.8795547485E+00
    9.5991998911E-01    6.8796496391E+00
    9.6192401648E-01    6.8797430992E+00
    9.6392798424E-01    6.8798346519E+00
    9.6593201160E-01    6.8799257278E+00
    9.6793597937E-01    6.8800153732E+00
    9.6994000673E-01    6.8801045418E+00
    9.7194397449E-01    6.8801918030E+00
    9.7394800186E-01    6.8802785873E+00
    9.7595202923E-01    6.8803634644E+00
    9.7795599699E-01    6.8804483414E+00
    9.7996002436E-01    6.8805313110E+00
    9.8196399212E-01    6.8806133270E+00
    9.8396801949E-01    6.8806943893E+00
    9.8597198725E-01    6.8807744980E+00
    9.8797601461E-01    6.8808536530E+00
    9.8997998238E-01    6.8809313774E+00
    9.9198400974E-01    6.8810086250E+00
    9.9398797750E-01    6.8810849190E+00
    9.9599200487E-01    6.8811597824E+00
    9.9799597263E-01    6.8812341690E+00
    1.0000000000E+00    6.8813076019E+00
